"T ABLE XXXIII—METEOROLOGICAL LOG OF S.Y. "" NIMROD,"" VOYAGE II. 1ST DECEMBER, 1908, TO 25TH MARCH, 1909."								
Time		Barometer	Temperature			Wind		"Position, Maximum and Minimum Temperature, Remarks, &c."
	10	29.20	19.0	19.0		SSE	3	
	12	29.21	21.0	21.0		SSE	4	"77° 32' S, 166° 08' E. Snow showers passing to N."
	14	29.20	25.5			S	4	
	16	29.20		25.0		S	4	Fine; clear.
	18	29.20	23.2	23.0		SSE	4	
	20	29.20	19.2	19.2		SSE	4	Weather same.
	22	29.22	20.5	20.5		SSE	3-4	
	24	29.24	20.0	20.0		SSE	3-4	"Max. 29.0° F, Min. 15.0° F. Ice breaking away to westward."
18	2	29.27	20.5	20.5		S	4	
	4	29.28	20.1	20.1		S	4	Ice breaking away to W and drifting N.
	6	29.30	23.4	23.0		S	3	
	12	29.40	30.0	30.0		WSW	1	At Cape Royds. Ice breaking away to W.
	14	29.42	29.3	29.1		NW x N	1	
	20	29.49	29.0	28.5		Calm		16.00; fine; clear; ice drifting to SSW.
	22	29.51	29.0	29.0		Calm		Fine; considerable mirage.
	24	29.53	29.0	28.5		Calm		"Max. 32.5° F, Min. 19.5° F. Sun on thermometer screen."
19	2	29.54	28.0	28.0		Calm		
	4	29.57	28.0	27.5		N	1	
	6	29.51	32.0	31.0		E x N	1	
	8	29.52	33.0	32.8		E x N	1	
	12	29.53	40.0	37.2		Calm		At Cape Royds. Fine; clear.
	14	29.52	40.1	38.5		SE	I	Ice drifting to S and filling Sound.
	16	29.52	41.0	39.0		SE	0-1	Fine; clear.
	18	29.51	33.0	32.2		N	1	
	20	29.50	31.0	30.6		NNW	1	
	22	29.52	30.2	30.0		NNE	1	
	24	29.51	29.6	29.0		NE x N	2	"Max. 42.0' F., Min. 28.0° F."
20	2	29.50	29.9	29.5		NE x N	2	Ice drifting from N.
	4	29.49	29.0	29.0		NE x N	2	
	6	29.50	30.5	30.0		NE x N	2	
	8	29.47	31.8	31.0		NE x N	2	Large tabular berg from N travelling rapidly up Sound to SSW.
	10	29.48				Var.	1	Erebus obscured.
	12	29.48	34.2	33.1		NW	2	At Cape Royds.
	14	29.48	42.1	39.0		NW	2	Ice drifting out of Bay.
	16	29.46	39.5	37.0		E x S	1	
	18	29.46	36.0	35.0		S	1	
	20	29.46	31.7	33.8		S	1-2	Fine; clear. Ice drifting to S.
	22	29.46	26.0	25.7		S	2	Mirage.
	24	29.47	25.0	24.5		SE	3	"Max. 43.0° F, Min. 19.0° F. Ice breaking away and drifting W."
21	2	29.47	22.1	22.1		SE	3	Cloudy with snow squalls.
	4	29.46	22.4	22.3		SE x S	3	
	6	29.47	17.8	17.0		SExS	3	
	8	29.47	20.0	19.5		SE	2	Fine; clear.
	10	29.48	22.5	22.0		SExS	3	
	12	29.48	17.0	16.6		SE x S	3	At Cape Royds.
	14	29.47	25.2	25.0		SSE	3	
	16	29.47	23.5	22.5		SSE	3	
	18	29.47	23.5	23.0		SE	2	Fine; clear. Ice still breaking away and drifting to W.
	20	29.47	16.0	16.2		SE	2	
	22	29.46	12.0	11.5		SE	2	Several bergs drifting into Sound from N.
	24	29.44	11.2	11.0		SE	2	"Max. 27.2° F, Min. 11.0° F."
22	2	29.42	10.2	10.0		SSE	2	
	4	29.40	9.70	9.20		SSE	2	Commenced to snow.
	6	29.37	12.5	12.5		SSE	2	
	8	29.37	16.0	16.0		SSE	2	Light snow; land obscured to S.
	12	29.35	13.0	12.7		SSE	2	At Cape Royds. Light snow.
	14	29.32	19.5	19.5		SE x S	3	Snowing lightly at intervals.
	16	29.32	20.5	20.0		SE x S	3	
	18	29.32	22.0	22.0		SExS	3	
	20	29.32	20.1	20.0		SE x S	2	Fine; clear; excessive mirage; distant objects remarkably clear
	22	29.31	22.0	22.0		SE x S	1	
	24	29.29	15.1	14.0		SE x S	1	"Max. 27.0° F, Min. 9.2° F. No change in ice conditions."
23	2	29.27	14.2	14.0		SSE	1	Overcast.
	4	29.26	16.2	16.0		SSE	1	
	6	29.27	17.5	17.5		S x W	2	
	8	29.25	18.0	17.5		S x E	2	Slight haze to S.
	10	29.26	19.5	19.0		S x E	3	
	12	29.26	21.5	21.0		S x E	4-5	At Cape Royds. Wind freshening.
	14	29.26				SE x 5	6	Blizzard in progress.
	16	29.26	23.5	23.0		SE x S	7	
	18	29.30	23.5	23.0		SE x S	7	"Clear blue sky above; drifting snow below, ever ice surface. Vessel broke adrift and proceeded to W."
	20	29.32	18.1	17.9		SE x S	6-7	Weather moderating. Anchored to fast ice.
	22	29.32	16.5	16.5		SE x S	6-7	
	24	29.33	14.1	14.0		SE x S	5-6	Max. 27.0° F. Min. 10.2° F. Fine; clear blue sky.
24	2	29.34	13.1	12.7		SE	4	
	4	29.34	11.6	11.0		SE	3	Fine; cloudless.
	6	29.36	12.0	12.0		SE	3	
	8	29.35	13.2	13.0		SE	2	
	10	29.36				SE	2	Proceeded to Butter Point.
	12	29.34				SE	2	"77° 36' S, 165° 10' E. (approx.). Steaming between large floes."
	16	29.32	25.0	24.7		S	1	Steaming through new ice.
	18	29.32	21.7	21.5		S	1	16.45; left Butter Point for Hut Point.
	20	29.29	16.5	16.0		S	1	19.30; encountered fast ice. Steered for Cape Royds.
	22	29.27	19.0	18.0		S	1	21.50; arrived at Cape Royds.
	24	29.25	13.5	13.0		S	1	Max. 26.7° F. Min. out of order.
25	2	29.23	14.0	13.1		S	1	Considerable mirage.
	4	29.21	10.5	10.2		S	1	"Clear, blue sky; mirage."
	6	29.19	10.5	10.0		S	1	
	8	29.16	16.0	15.9		S	1	Considerable mirage to S.
	10	29.14	19.9	19.0		Var.	1	
	12	29.12	25.0	23.5		Var.	1	At Cape Royds. Fine.
	14	29.08	27.0	27.0		N	1	
	16	29.05	26.0	26.0		N x E	1	Fine; clear. Ice drifting to W.
	18	29.03	31.0	31.0		N x E	2	
	20	29.00	29.5	29.0		N	2	Ice breaking away in small floes.
	22	28.98	24.5	24.0		N	2	
	24	28.96	21.5	21.1		N	2	Max. 34.0° F. Min. out of order.
26	2	28.95	21.7	21.5		SSE	2	
	4	28.94	25.5	24.7		SSE	2	Appearance of snow in SW.
	6	28.94	22.0	22.0		S	2	Ice breaking away and drifting to W.
	8	28.94	22.5	22.0		5	2	Frequent fine snow.
	12	28.93	32.0	32.0		5	2	Fast to Ice Foot at Cape Royds.
	14	28.93	30.0	30.0		SSE	2	
	16	28.94	28.0	28.0		SSE	2	
	18	28.96	28.4	28.0		SSE	1-2	
	20	28.94	27.0	26.8		SSE	2	
	22	28.97	22.0	22.0		SSE	3-4	Fine; clear.
	24	29.00	17.7	17.6		SSE	3-4	Max. 32.2° F.
27	2	29.03	16.0	15.7		SE	5	
	4	29.04	15.9	15.9		SE	5-6	Blizzard.
	6	29.04				SE	7-8	"Vessel broke adrift and steamed under Cape Barne, making fast to ice foot."
	8	29.04				SSE	8	
	10	29.04				SSE	7-8	
	12	29.04	24.2	23.7		SSE	7-8	"77° 35' S, 166° 13' E. Ice breaking away rapidly."
	14	29.04	27.0	26.5		SSE	3	Ice breaking away. Moored ship to stranded berg.
	16	29.04	27.0	27.0		SSE	2	
	18	29.04	28.9	28.9		Calm		
	20	29.04	32.5	31.2		N	0-1	Fine snow.
	22	29.03	27.0	26.2		NNE	1	20.20 to 20.40; returned to Cape Royds.
	24	29.03	26.0	25.5		NNE	2	Max. 33..9° F.
28	2	29.01	26.5	26.0		NW x N	4	Dull; unsettled. Ice drifting N.
	4	29.01	24.5	24.2		WNW	2-3	
	6	29.02	21.0	21.2		N	2	
	8	29.02	26.0	25.5		S	1-2	Frequent snow.
	10	29.01	24.0	24.0		S	0-2	Dull; cloudy.
	12	28.99	24.0	24.0		S	1	At Cape Royds.
	14	28.97	23.5	23.0		S	2	
	16	28.98	23.2	22.8		S	2	
	18	28.94	24.2	24.2		S	3-4	Dull; cloudy.
	20	28.93	22.9	22.0		S	3	
	22	28.92	24.7	23.5		S	3	Partially overcast.
	24	28.92	21.2	21.0		SSE	3	"Max. 28.0° F, Min. 20.2° F."
29	2	28.91	20.5	20.2		SSE	2	
	4	28.91	20.7	20.6		SSE	3	Fine; clear.
	6	28.92	21.0	20.8		SSE	3	
	8	28.88				SSE	3	
	10	28.87				SSE	2	No reading of attached thermometer.
	12	28.86	32.2	32.1		SSE	2	At Cape Royds.
	14	28.90	33.5	32.0		Var.	1	
	16	28.88	29.5	29.0		W	2	
	18	28.89	33.8	33.0		S	1	Fine; clear. Ice breaking out from Cape Royds.
	20	28.90	32.8	31.5		S	2	
	22	28.92	27.0	26.0		SE	3	
	24	28.94	24.5	24.0		SE	5	"Max. 35.0° F, Min. 20.0° F. 23.45; wind suddenly increased to force 5. Ice breaking out from Cape Royds. Proceeded to Cape Barne and made fast to lee of stranded berg."
30	2	28.96	22.5	22.0		SE	5-6	Squally; heavy drift. Ice breaking away from Bay and drifting N.
	4	28.95	22.5	22.0		SE	7-8	
	6	28.96	21.0	21.0		SE	8	
	8	29.03	23.0	22.5		SE	9	Heavy drift of snow.
	10	29.08	24.0	24.0		SE	8-9	
	12	29.12	24.5	24.5		SE	8	"Anchored in lee of stranded berg off Cape Barne 77° 35' S, 166° 12' E."
	14	29.15	26.7	26.2		SE	7-8	Frequent heavy squalls.
	16	29.18	26.7	26.0		SE	6-7	
	18	29.19	27.5	26.2		SE	6-7	Weather moderating. Short choppy sea.
	20	29.20	28.2	27.2		SE	6	
	22	29.21	27.0	27.0		SE	6	
	24	29.22	28.2	27.9		SE	6	"Max. 29.0° F, Min. 20.5° F. Blue sky. Unsteady wind."
31	2	29.24	26.0	25.0		SE	5	Weather improving.
	4	29.22	20.3	19.5		SE	4-5	Bank of clouds to S. Puffy wind.
	6	29.18	26.6	25.8		SE	4	
	8	29.18	27.8	27.5		SE	5	
	10	29.20	26.7	26.0		SE	5	
	12	29.22	27.0	27.0		SE	4	"77° 35' S, 166° 12' E. Position unchanged. Short choppy sea."
	14	29.22	25.0	25.0		SE	6	
	16	29.21	25.7	25.0		SE	5	14.30-15.05; proceeded to Cape Royds. Found bay ice broken up; proceeded to Glacier Tongue. 17.15; moored to solid ice 
	18	29.22	17.8	17.8		SE	5	
	20	29.22	16.4	16.2		SE	5-6	
	22	29.23	15.5	15.0		ESE	6	
	24	29.23 	15.5	15.0		ESE	6	
"February, 1909"								
1	2	29.24	15.2	15.0		ESE	5	Cloudy; dull
	4	29.24	13.5	13.5		ESE	6	
	6	29.25	15.2	15.0		ESE	4	
	8	29.27	19.0	19.0		ESE	2	
	10	29.26	24.0	23.5		ESE	2	09.00; Proceeded towards Butter Point.
	12	29.25	24.0	24.0		ESE	2	"77° 36' S, 165° 30' E. (approx.). Passing through patches of pack. "
	14	29.29	24.5	24.0		ESE	4	Steaming through patches of pack.
	16	29.29	21.7	21.5		ESE	4	14.40; stopped by heavy pack 2 miles from Butter Point.
	18	29.30	21.0	21.0		S	2	15.00; proceeded northwards along coast.
	20	29.30	22.0	21.8		S	2	
	22	29.30	20.2	20.2		S	2	
	24	29.30	17.2	17.2		S	2	"Max. 25.0° F, 13.0° F. 23.45; arrived off Granite Harbour; found entrance impossible, owing to heavy pack extending 2 miles from shore."
2	2	29.30	16.2	16.0		SE	2	
	4	29.29	20.2	20.0		SE	2	Dull; cloudy. Southerly swell.
	6	29.28	24.5	24.5		SE	2	
	10	29.28	26.0	26.0		SE	2	
	12	29.28	23.0	23.0		SE	1	"76° 00' S, 164° 00' E. (approx.). Heavy pack along shore."
	14	29.27	25.0	24.5		SE	2	Fine snow.
	16	29.25	23.0	23.0		SW	2	Steaming along heavy pack in which several large bergs were marooned.
	18	29.24	24.8	24.5		SW	2	
	20	29.24	20.5	20.0		SW	2	"Passing Drygalski Ice Tongue, which was surrounded to a depth of 2 miles by heavy pack. 22.00; entered pack."
	22	29.24	20.0	19.3		SW	2	
	24	29.25	18.7	18.2		SW	2	
3	2	29.23	17.0	17.0		W	2	Steaming along N side of Drygalski Ice Tongue. 01.30; cleared pack.
	4	29.23	17.0	17.0		W x S	3	
	6	29.22	18.2	18.0		SW	3	
	8	29.22	17.3	17.0		SW	6-7	Wind freshening to gale.
	10	29.22	20.0	20.0		SW	5-7	
	12	29.22	22.7	20.5		SW	3	"75° 00' S, 164° 00' E. (approx.)."
	14	29.24	29.0	28.7		W	1	Proceeded eastward.
	16	29.22	32.0	31.5		Calm		15.30; entered pack.
	18	29.23	29.8	28.3		SE	1	Steaming through loose pack in which were several large tabular bergs.
	20	29.23	24.2	23.7		S	2	
	22	29.24	23.5	23.0		S	2	20.30; cleared pack; steered for Cape Washington.
	24	29.26	23.5	23.2		SSW	2	"Max. 35.8° F, Min. 16.0° F. Near Cape Washington."
4	2	29.26	22.0	22.0		SW	3	"00.30; entered pack, steering S. pack moving strongly towards Cape Washington. 02.28; cleared pack. Several large bergs in vicinity."							
	4	29.21	22.0	21.5		SW	3	
	6	29.24	23.2	23.0		SW	5-6	"04.00 to 06.00; skirting pack, which filled N side of Terra Nova Bay."
	8	29.22	25.4	25.0		SW	7	Short high sea.
	12	29.26						75° 20'S 164° 00' E. (approx.).
	14	29.29	24.5	24.1		W	4	"At Relief Inlet, Drygalski Ice Tongue. Relieved northern party."
5	2	29.27	23.0	22.0		SW	1	
	4	29.26	22.5	22.5		SW	2	
	6	29.25	24.0	24.0		SW	2	
	8	29.24	23.0	24.0		SW	2	
	12	29.23						"At Relief Inlet. 75° 05' S, 164° 50' E. (approx.). Fine snow."
	14	29.23	25.5	25.0		SE	2	
	16	29.22	25.0	25.0		SE	2	
	18	29.22	24.3	24.3		SE	3	
	20	29.20	23.8	23.5		SE	4	
	24	29.20	19.3	19.0		WSW	4	"Max. 26.0° F, Min. 19.0° F. Continuous fine snow."
6	2	29.19	19.0	19.0		WSW	4	Fine snow.
	4	29.16	15.1	15.0		WSW	4	Overcast; fine snow.
	6	29.15	14.0	13.3		SW	4	Weather commenced to clear at 05.00 hrs. Mountains visible.
	8	29.11	15.7	14.8		SW	5	
	12	29.04				NW	4-5	At Relief Cove.
	14	29.02	17.0	16.4		WSW	2	
	16	29.02	16.0	16.0		WSW	4	
	18	29.00	11.5	11.0		SSW	2	
	20	28.99	10.6	10.2		WSW	2	
	24	29.00	13.5	13.5		W	3-4	"Max. 20.0° F, Min. 9.0° F. Overcast; frequent fine drift."
7	2	29.01	13.5	13.5		W	3	Continuous fine drift.
	4	29.02	13.5	13.5		W	5	
	6	29.04	15.0	15.0		WSW	4	
	8	29.03	15.8	15.8		WSW	5	Puffy wind. Continuous fine drifting snow.
	12	29.04	19.0	19.0		SW	3	At Relief Cove. Heavy drifting snow.
	14	29.07	21.0	20.8		SW	4	
	16	29.10	21.7	21.0		SW	3	Fine; clear.
	18	29.08	14.9	14.9		NW	2	
	20	29.10	17.0	16.4		NW	2	18.45; started for Cape Royds.
	22	29.08	24.0	20.5		NW	2	
	24	29.05	22.2	22.0		NW	2	"Max. 24.0° F, Min. 12.0° F. 23.45; encountered pack."
8	2	29.07	19.5	19.0		NW x W	3	
	4	29.08	19.5	19.0		W	3	Steaming along edge of pack.
	6	29.05	25.0	24.0		SW	4	Skirting edge of pack to northward.
	8	29.09	26.0	25.0		SW	6	07.00; brought up by pack extending all round N horizon.
	10	29.09	20.0	20.0		SW	6	Frequent snow squalls. Skirting edge of pack to westward.
	12	29.08	23.0	22.5		SW	6	"N of Drygalski Ice Tongue. 75° 23' S, 164° 30' E. (approx.)."
	14	29.08	25.0	25.0		W	5-6	Continuous snow.
	16	29.12	23.0	23.0		SW	5	15.00; wind returned to SW.
	18	29.12	25.0	24.8		WSW	4	16.20; cleared pack edge; stretching to E.
	20	29.16	24.2	24.2		WSW	4	Approaching pack at NE end of Drygalski Ice Tongue.
	22	29.10	24.5	24.5		WSW	3	Frequent fine snow. 21.00; entered pack.
	24	29.04	24.5	24.5		WSW	3	"Max. 27.0° F, Min. 19.0° F. Overcast. Heavy S swell."	23.20; cleared pack.
9	2	29.02	24.5	24.2		WSW	5	Overcast. Steaming along edge of pack.
	4	28.98	26.0	25.0		WSW	3	Clear; Western Mountains visible. Heavy S swell.
	6	28.95	29.0	28.0		SW	2	
	8	28.96	28.2	27.0		SW x S	2	Steep southerly sea.
	10	28.92	30.0	28.5		SW x S	3	Heavy swell from SSW.
	12	28.87	29.0	28.0		SW	5	"76° 00' S, 165° 40' E. (approx.)."
	14	28.88	29.0	29.0		SW	4	
	16	28.84	31.0	30.2		WSW	4	Fine; clear.
	18	28.80	31.5	30.8		WSW	4	
	20	28.78	30.0	30.0		SW	5	
	22	28.78	30.0	27.7		SW	6	Overcast; squally. Heavy southerly sea.
	24	28.78	29.0	29.0		S	8	"Max. 32.8° F, Min. 23.5° F."
10	2	28.78	29.0	28.5		SSW	7	High sea. Heavy squalls.
	4	28.76	29.5	29.0		SSW	7	Wind force 8 at 03.00 hrs.
	6	28.76	30.2	29.8		SSW	7	
	8	28.71	30.5	30.2		SSW	5	
	10	28.74	29.0	29.0		SSW	7	
	12	28.78	30.0	29.5		SSW	5	"76° 37' S, 166° 47' E. Wind unsteady in force and direction."
	14	28.79	32.0	31.5		SW x W	8	High sea.
	16	28.84	31.5	31.0		SW x W	5	
	18	28.93	33.5	32.8		S	2	Light fitful wind. Steep sea from S. 17.00; wind shifted to E.
	20	28.98	32.8	31.6		S	2	
	22	29.00	31.0	30.5		S	8	
	24	29.01	31.5	31.0		SSW	8-10	"Max. 33.8° F, Min. 28.0° F. Violent squalls. Heavy southerly sea."
11	2	29.02	33.5	33.0		SSW	8	Wind and sea moderating. Weather showing signs of improvement.
	4	29.09	34.0	33.0		S	7	Lulls between squalls. Erebus summit visible.
	6	29.14	34.0	32.8		S	7	
	8	29.14	34.0	33.2		SSE	7	Violent squalls. Short heavy sea.
	10	29.18	36.0	35.9		SSE	8	
	12	29.20	34.5	34.0		W x S	5	"77° 08' S, 166° 35' E. Off Cape Bird."
	14	29.22	32.5	32.0		W x N	4	"Shortly after noon, off Cape Bird wind moderated and shifted to NNW, very puffy and unsteady. 15.35; arrived at Cape Royds."
	16	29.24	32.0	30.8		SSW	5	
	18	29.29	31.0	29.5		SSW	4	16.40; left Cape Royds for Hut Point via Glacier Tongue.
	20	29.28	28.2	27.8		SSW	1	
	22	29.28	28.0	27.0		Calm		Arrived at edge of fast ice 4.5 miles N of Hut Point.
	24	29.29	24.0	24.0		Calm		"Max. 38.0° F, Min. 23.5° F. Fine. Heavy broken floes all round."
12	2	29.29	17.0	17.0		Calm		Ice cracking and breaking out in large floes.
	4	29.27	17.8	17.2		S	1	
	6	29.27	23.0	23.0		E	1-2	
	8	29.28	23.8	23.6		NE	2-3	07.30; broke adrift.
	10	29.28	26.0	26.0		NE	2	08.30; proceeded to Glacier Tongue; anchored 1 mile from W extremity.
	12	29.27	34.2	32.0		E	2	"77° 43' S, 166° 25' E."
	14	29.26	31.5	31.5		E	1	
	16	29.23	28.0	27.5		E	1	Fine; clear.
	18	29.23	28.7	28.4		SE	1-2	
	20	29.24	27.0	26.8		SE	1-2	
	22	29.24	19.0	19.0		SE	1	Fine; smooth sea; distant objects very clear.
	24	29.24	17.0	17.0		E	1	"Max. 35.0° F, Min. 15.9° F."
13	2	29.23	17.0	16.8		E	1	Fine; clear.
	4	29.23	17.0	16.8		E	1	
	6	29.22	20.2	20.0		S	1-2	
	8	29.24	21.5	21.0		SE	2	
	10	29.24	26.0	26.0		SE	2	Dull; cloudy.
	12	29.23	23.4	23.0		ESE	2	"77° 43' S, 166° 25' E. At Glacier Tongue."
	14	29.23	22.0	22.0		SE	2	
 	16	29.22	22.0	22.0		SE	3	Overcast; dull.
	18	29.24	24.0	23.8		S	2	
	20	29.22	19.2	19.0		E	2	
	22	29.22	20.0	20.0		E	2	
	24	29.23	20.5	20.5		ESE	2	"Max. 32.0° F, Min. 16.0° F. Heavily overcast."
14	2	29.26	20.0	20.0		ESE	3	01.20;commenced to snow.
	4	29.20	19.0	18.5		ESE	3	Light continuous snow.
	6	29.20	14.8	15.0		SE	2-3	
	8	29.19	14.8	14.8		SE	4	Puffy wind; fine drift.
	10	29.18	15.0	15.0		ESE	4	
	12	29.18	15.5	15.0		ESE	5	"77° 43' S, 166° 25' E. At Glacier Tongue. Fine drift snow."
	14	29.18	15.5	15.5		ESE	5	Thick drift.
	16	29.18	15.0	15.0		ESE	5	
	18	29.18	15.3	15.1		ESE	5	
	20	29.16	15.2	15.0		ESE	5	Fine drift snow from Glacier Tongue. Sea calm in bay.
	22	29.16	14.5	14.0		E x S	4	
	24	29.17	14.5	14.0		E x S	3	"Max. 21.0° F, Min. 14.0° F. Similar weather."
15	2	29.19	17.0	17.0		E x S	5	Heavy drift. Clearing.
	4	29.20	17.0	17.0		E x S	4	Less drift.
	6	29.22	15.0	15.0		E x S	2-3	Clearing to S. Finer.
	8	29.25	14.8	14.7		E x S	3	07.00; wind again freshened with drift.
	10	29.28	15.0	14.5		E	3	
	12	29.30	16.0	15.5		E	3	"77°43' S, 166° 25' E. At Glacier Tongue. Fine."
	14	29.32	20.0	20.0		E	3	
	16	29.33	16.5	16.0		ESE	3	Cloudy; dull.
	18	29.36	14.0	14.0		SE	3-4	
	20	29.38	13.2	13.0		SE	4	Puffy wind; fine drift. Water quite smooth in bay.
	22	29.39	15.0	14.5		SE	3	
	24	29.40	13.0	13.0		SE	2	"Max. 22.0° F, Min. 12.9° F."
16	2	29.43	14.5	14.0		SE	2	
	4	29.44	12.5	12.2		SE	1	Fine.
	6	29.46	14.3	13.7		SE	2	Clearing; Erebus visible.
	8	29.48	14.5	14.5		SE	2	09.00-11.30; proceeding to Cape Royds.
	12	29.47	28.8	28.5		SE	3	At Cape Royds.
	14	29.49	18.0	18.0		E	3	
	16	29.50	17.5	17.5		E	3	12.22-15.30; proceeded to fast ice 2.7 miles N of Hut Point.
	18	29.54	13.3	13.0		E	3-4	Puffy wind; fine drift. 15.40-17.45; returned to Glacier Tongue.
	20	29.54	11.4	11.3		E	4	
	22	29.55	11.2	11.2		E	5	
	24	29.56	11.5	11.2		E	5	"Max. 29.0° F, Min. 11.2° F. Overcast; dull."
17	2	29.60	12.5	12.0		E	4	Cloudy; dull. Drift from Glacier Tongue.
	4	29.62	13.0	12.3		E	4	
	6	29.65	12.8	12.2		E	4	
	8	29.66	12.1			E	3	
	10	29.68	15.5	15.0		E	3	
	12	29.70	15.5	15.0		E	2	"77°43' S, 166° 25' E. At Glacier Tongue. Fine."
	14	29.69	16.8	16.8		SE	2	Overcast.
	16	29.71	15.5	15.5		SE	1	
	18	29.71	12.2	12.0		SE	1	Clear to S.
	20	29.71	12.2	12.0		SE	1	
	22	29.70	14.0	14.0		ESE	1	Fine.
	24	29.68	11.0	11.0		E x S	1	"Max. 18.5° F, Min. 11.0° F. NW swell."
18	2	29.65	12.2	12.0		E x S	1	Fine; clear.
	4	29.65	13.8	13.0		E x S	1	Ice drifting out from Hut Point.
	6	29.64	11.7	11.5		S	1	
	8	29.62	11.7	11.7		S	1-2	Erebus clear.
	10	29.60	14.0	14.0		E	2	
	12	29.59	10.0	09.0		E	2-3	At Glacier Tongue.
	14	29.59	12.0	11.8		E	4	
	16	29.59	10.5	10.0		E	6	Clear to S.
	18	29.63	09.8	09.5		E	6	
	20	29.62	06.3	06.2		E	6	Thermometers covered with salt.
	22	29.64	04.0	04.0		E	7	Erebus obscured.
	24	29.65	04.0	04.0		E	7	"Max. 17.0° F, Min. 4.0° F."
19	2	29.66	05.7	05.0		ESE	7	Fine drift from Glacier Tongue. Erebus obscured.
	4	29.68	06.0	04.9		ESE	7	
	6	29.71	05.3	04.2		ESE	7	
	8	29.73	07.5	06.9		ESE	6	
	10	29.72	10.0	08.5		ESE	6	
	12	29.72	10.0	08.5		ESE	6	At Glacier Tongue.
	14	29.74	11.1	10.0		ESE	7	
	16	29.79	09.2	08.2		ESE	8	Overcast; Erebus visible at intervals.
	18	29.83	08.0	06.7		ESE	8	
	20	29.84	06.5	05.2		ESE	8	Overcast; dull; squally.
	22	29.84	07.2	05.5		E x S	7	
	24	29.85	07.5	06.0		E x S	8	"Max. 11.5° F, Min. 4.0° F. No change in weather."
20	2	29.86	06.0	05.8		E x S	4-7	Wind unsteady in force. Sky overcast.
	4	29.85	06.0	06.0		ESE	7	Commenced to snow.
	6	29.84	05.2	05.0		ESE	8	Thick weather; light drift; mist rising from sea.
	8	29.83	05.0	04.7		ESE	8	Swell rising in bay.
	10	29.82	06.0	05.5		ESE	8	Dense fog and drift snow. Swell coming into bay. Erebus obscured.
	12	29.82	07.0	06.5		ESE	8	At Glacier Tongue.
	14	29.80	06.0	05.7		ESE	7	"Dense "" frost smoke "" rising from water."
	16	29.77	6.0	5.8		ESE	7	
	18	29.77	3.3	3.0		ESE	6	Weather clearing ; Erebus visible.
	20	29.74	6.7	6.2		ESE	6	"18.45, left for Hut Point. Encountered pack at end of Glacier Tongue."
	22	29.74	5.0	5.0		ESE	6	21.30; cleared pack; 22.00; arrived at Hut Point.
	24	29.73	2.0	2.0		ESE	6	"Max. 9.0° F, Min. 2.0° F. Erebus clearly visible, but no smoke seen. 22.10-23.50; returned to Glacier Tongue."
21	2	29.70	3.0	2.8		ESE	5	
	4	29.68	5.2	4.5		ESE	5	
	6	29.68	8.7	7.0		ESE	4	Fine; clear.
	8	29.67	7.9	7.0		ESE	3	
	10	29.66	11.5	10.0		SE	4	"09.20; proceeded to Cape Royds, arriving 11.00."
	12	29.64	13.5	12.0		SE	5	At Cape Royds.
	14	29.64	13.2	12.5		SE	5	
	16	29.70	9.8	8.2		SE	5	13.20-15.20; returned to Glacier Tongue.
	18	29.74	13.0	11.2		SE	5	
	20	29.74	10.0	9.0		SE	4	Fitful wind.
	22	29.72	6.0	5.0		SE	3	
	24	29.70	3.5	3.0		SE	1	"Max. 13;5° F, Min. 2.0° F. Erebus visible."
22	2	29.71	4.5	4.0		E	4	Fine; clear.
	4	29.71	5.5	4.0		E	4	
	6	29.71	5.5	4.5		E	3	
	8	29.70	10.0	8.8		E	1	
	10	29.70	10.0	9.0		E	3	8.40-11.20; proceeded to Hut Point.
	12	29.69	3.5	3.0		E	5	"At Hut Point. 77° 50' S, 166° 35' E. (approx.)."
	14	29.66	7.2	6.0		E	4	Left for Glacier Tongue shortly after noon.
	16	29.66	14.5	13.3		E	2	14.30; arrived at Glacier Tongue.
	18	29.66	14.7	12.2		Var.	0-1	Fine; clear.
	20	29.64	13.0	11.0		Var.	0-1	
	22	29.62	8.0	6.5		Var.	0-1	
	24	29.59	3.0	1.0		Var.	0-1	"Max. 16.8° F, Min. 1.0° F. Fine; clear."
23	2	29.56	6.0	5.1		Var.	1	
	4	29.54	8.3	7.2		Var.	1	"Fine, clear."
	6	29.49	10.3	9.0		SW	1	
	8	29.44	13.7	12.5		SW	1	
	10	29.38	12.5	11.5		Calm		
	12	29.33	14.0	13.0		Calm		At Glacier Tongue. Fine; clear.
	14	29.29	15.0	14.0		Var.	0-1	
	16	29.27	20.0	17.9		SE	1	
	18	29.25	19.0	17.8		SE	0-1	Fine; clear.
	20	29.18	10.8	10.0		SE	0-1	
	22	29.17	2.30	2.00		Calm		
	24	29.16	10.0	9.20		Calm		"Max. 21.0° F, Min. 2.0° F. Cloudy; dull."
24	2	29.14	4.90	5.00		Var.	1	
	4	29.10	18.0	16.2		NW	2	
	6	29.08	18.0	17.0		NW	2	
	8	29.04	20.0	18.8		NW	3	
	12	29.01	24.0	23.0		Var.	0-1	"At Glacier Tongue. Clear, blue sky."
	14	29.00	24.0	23.0		WNW	1	Distant objects very clear and distinct.
	16	28.98	21.2	20.0		ESE	2	
	18	28.98	21.0	21.0		ESE	4	Clouds gathering to S.
	20	28.98	12.0	11.5		ESE	4	
